IcaoCode,IataCode,Model,ModelUrl,ModelTitle,ModelImageUrl
CN35,CS5,CASA/IPTN CN-235,https://en.wikipedia.org/wiki/CASA/IPTN_CN-235,CASA/IPTN CN-235,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Festival_A%C3%A9reo_de_Vigo_2010_%284807526294%29.jpg/256px-Festival_A%C3%A9reo_de_Vigo_2010_%284807526294%29.jpg
CONC,SSC,Concorde,https://en.wikipedia.org/wiki/Concorde,Concorde,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/British_Airways_Concorde_G-BOAC_03.jpg/256px-British_Airways_Concorde_G-BOAC_03.jpg
CONI,L49,Lockheed L-1049 Super Constellation,https://en.wikipedia.org/wiki/Lockheed_L-1049_Super_Constellation,Lockheed L-1049 Super Constellation,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lockheed_L1049H_CF-NAM_Nordair_MAN_02.07.66_edited-2.jpg/256px-Lockheed_L1049H_CF-NAM_Nordair_MAN_02.07.66_edited-2.jpg
CRJ1,CR1,Canadair Regional Jet 100,https://en.wikipedia.org/wiki/Bombardier_CRJ200,Bombardier CRJ100/200,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Canadair_CL-600-2B19_Regional_Jet_CRJ-200ER%2C_Delta_Connection_%28ASA_-_Atlantic_Southeast_Airlines%29_AN0779703.jpg/256px-Canadair_CL-600-2B19_Regional_Jet_CRJ-200ER%2C_Delta_Connection_%28ASA_-_Atlantic_Southeast_Airlines%29_AN0779703.jpg
CRJ2,CR2,Canadair Regional Jet 200,https://en.wikipedia.org/wiki/Bombardier_CRJ200,Bombardier CRJ100/200,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Canadair_CL-600-2B19_Regional_Jet_CRJ-200ER%2C_Delta_Connection_%28ASA_-_Atlantic_Southeast_Airlines%29_AN0779703.jpg/256px-Canadair_CL-600-2B19_Regional_Jet_CRJ-200ER%2C_Delta_Connection_%28ASA_-_Atlantic_Southeast_Airlines%29_AN0779703.jpg
CRJ7,CR7,Canadair Regional Jet 700,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series,Bombardier CRJ700 series,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/CRJ-900_Air_Nostrum_EC-JTU_01.jpg/256px-CRJ-900_Air_Nostrum_EC-JTU_01.jpg
CRJ9,CR9,Canadair Regional Jet 900,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ900_and_derivative,Bombardier CRJ700 series,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/CRJ-900_Air_Nostrum_EC-JTU_01.jpg/256px-CRJ-900_Air_Nostrum_EC-JTU_01.jpg
CRJX,CRK,Canadair Regional Jet 1000,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ1000,Bombardier CRJ700 series,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/CRJ-900_Air_Nostrum_EC-JTU_01.jpg/256px-CRJ-900_Air_Nostrum_EC-JTU_01.jpg
CVLP,CV4,Convair CV-240 &amp; -440,https://en.wikipedia.org/wiki/Convair_CV-240_family,Convair CV-240 family,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Convair-240-color.jpg/256px-Convair-240-color.jpg
CVLT,CV5,"Convair CV-580, Convair CV-600, Convair CV-640",https://en.wikipedia.org/wiki/Convair_CV-240_family,Convair CV-240 family,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Convair-240-color.jpg/256px-Convair-240-color.jpg
D228,D28,Fairchild Dornier Do.228,https://en.wikipedia.org/wiki/Dornier_Do_228,Dornier Do 228,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Do228NG_-_RIAT_2012_%2818649688613%29.jpg/256px-Do228NG_-_RIAT_2012_%2818649688613%29.jpg
D328,D38,Fairchild Dornier Do.328,https://en.wikipedia.org/wiki/Dornier_328,Dornier 328,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Sun-Air_Do-328.jpg/256px-Sun-Air_Do-328.jpg
DC10,D10,Douglas DC-10,https://en.wikipedia.org/wiki/Douglas_DC-10,McDonnell Douglas DC-10,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Continental_Airlines_DC-10.jpg/256px-Continental_Airlines_DC-10.jpg
DC3,D3F,Douglas DC-3,https://en.wikipedia.org/wiki/Douglas_DC-3,Douglas DC-3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Douglas_DC-3%2C_SE-CFP.jpg/256px-Douglas_DC-3%2C_SE-CFP.jpg
DC6,D6F,Douglas DC-6,https://en.wikipedia.org/wiki/Douglas_DC-6,Douglas DC-6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Western_Airlines_DC-6.tif/lossy-page1-256px-Western_Airlines_DC-6.tif.jpg
DC85,D8T," Douglas DC-8-50",https://en.wikipedia.org/wiki/Douglas_DC-8,Douglas DC-8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg/256px-Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg
DC86,D8L," Douglas DC-8-62",https://en.wikipedia.org/wiki/Douglas_DC-8,Douglas DC-8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg/256px-Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg
DC87,D8Q," Douglas DC-8-72",https://en.wikipedia.org/wiki/Douglas_DC-8,Douglas DC-8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg/256px-Air_Jamaica_McDonnell_Douglas_DC-8-62H_Fitzgerald.jpg
DC91,D91," Douglas DC-9-10",https://en.wikipedia.org/wiki/Douglas_DC-9,McDonnell Douglas DC-9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Northwest_N756NW_DC9.JPG/256px-Northwest_N756NW_DC9.JPG
DC92,D92," Douglas DC-9-20",https://en.wikipedia.org/wiki/Douglas_DC-9,McDonnell Douglas DC-9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Northwest_N756NW_DC9.JPG/256px-Northwest_N756NW_DC9.JPG
DC93,D93," Douglas DC-9-30",https://en.wikipedia.org/wiki/Douglas_DC-9,McDonnell Douglas DC-9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Northwest_N756NW_DC9.JPG/256px-Northwest_N756NW_DC9.JPG
DC94,D94," Douglas DC-9-40",https://en.wikipedia.org/wiki/Douglas_DC-9,McDonnell Douglas DC-9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Northwest_N756NW_DC9.JPG/256px-Northwest_N756NW_DC9.JPG
DC95,D95," Douglas DC-9-50",https://en.wikipedia.org/wiki/Douglas_DC-9,McDonnell Douglas DC-9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Northwest_N756NW_DC9.JPG/256px-Northwest_N756NW_DC9.JPG
DH2T,DHR,De Havilland Canada DHC-2 Turbo-Beaver,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-2_Beaver,De Havilland Canada DHC-2 Beaver,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/VH-IDO_De_Havilland_Canada_DHC-2_Beaver_Mk1_Airwaves_Gold_Coast_%288402101541%29.jpg/256px-VH-IDO_De_Havilland_Canada_DHC-2_Beaver_Mk1_Airwaves_Gold_Coast_%288402101541%29.jpg
DH8A,DH1,De Havilland Canada DHC-8-100 Dash 8 / 8Q,https://en.wikipedia.org/wiki/Bombardier_Dash_8,Bombardier Dash 8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Airberlin_Q400_%28cropped%29.jpg/256px-Airberlin_Q400_%28cropped%29.jpg
DH8B,DH2,De Havilland Canada DHC-8-200 Dash 8 / 8Q,https://en.wikipedia.org/wiki/Bombardier_Dash_8,Bombardier Dash 8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Airberlin_Q400_%28cropped%29.jpg/256px-Airberlin_Q400_%28cropped%29.jpg
